R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA   zbot_avg zbot_min zbot_max
 0.43000D+12 0.35481D+15   0.0150   22.565   20.941   24.566
 0.43000D+12 0.39811D+15   0.0150   22.503   20.941   24.092
 0.43000D+12 0.44668D+15   0.0150   22.503   20.941   24.092
 0.43000D+12 0.50119D+15   0.0150   22.503   20.941   24.092
 0.43000D+12 0.56234D+15   0.0150   22.503   20.941   24.092
 0.43000D+12 0.63096D+15   0.0150   22.503   20.941   24.092
 0.43000D+12 0.70795D+15   0.0150   22.503   20.941   24.092
 0.43000D+12 0.79433D+15   0.0150   22.503   20.941   24.092
 0.43000D+12 0.89125D+15   0.0150   22.503   20.941   24.092
 0.43000D+12 0.10000D+16   0.0150   22.503   20.941   24.092
 0.44000D+12 0.10000D+14   0.0150  131.959  128.865  134.814
 0.44000D+12 0.11220D+14   0.0150  130.622  127.309  133.690
 0.44000D+12 0.12589D+14   0.0150  129.156  125.606  132.451
 0.44000D+12 0.14125D+14   0.0150  127.544  123.755  131.078
 0.44000D+12 0.15849D+14   0.0150  125.770  121.734  129.549
 0.44000D+12 0.17783D+14   0.0150  123.815  119.529  127.847
 0.44000D+12 0.19953D+14   0.0150  121.658  117.129  125.941
 0.44000D+12 0.22387D+14   0.0150  119.277  114.503  123.812
 0.44000D+12 0.25119D+14   0.0150  116.650  111.650  121.426
 0.44000D+12 0.28184D+14   0.0150  113.755  108.532  118.765
 0.44000D+12 0.31623D+14   0.0150  110.572  105.147  115.798
 0.44000D+12 0.35481D+14   0.0150  107.084  101.478  112.514
 0.44000D+12 0.39811D+14   0.0150  103.281   97.504  108.890
 0.44000D+12 0.44668D+14   0.0150   99.161   93.238  104.940
 0.44000D+12 0.50119D+14   0.0150   94.732   88.685  100.655
 0.44000D+12 0.56234D+14   0.0150   90.013   83.858   96.057
 0.44000D+12 0.63096D+14   0.0150   85.038   78.790   91.185
 0.44000D+12 0.70795D+14   0.0150   79.849   73.531   86.080
 0.44000D+12 0.79433D+14   0.0150   74.501   68.133   80.793
 0.44000D+12 0.89125D+14   0.0150   69.058   62.660   75.387
 0.44000D+12 0.10000D+15   0.0150   63.585   57.178   69.929
 0.44000D+12 0.11220D+15   0.0150   58.152   51.757   64.488
 0.44000D+12 0.12589D+15   0.0150   52.826   46.465   59.130
 0.44000D+12 0.14125D+15   0.0150   47.670   41.369   53.917
 0.44000D+12 0.15849D+15   0.0150   42.739   36.521   48.903
 0.44000D+12 0.17783D+15   0.0150   38.078   31.965   44.141
 0.44000D+12 0.19953D+15   0.0150   33.724   27.749   39.659
 0.44000D+12 0.22387D+15   0.0150   29.701   23.904   35.475
 0.44000D+12 0.25119D+15   0.0150   26.181   21.059   31.648
 0.44000D+12 0.28184D+15   0.0150   24.159   20.792   28.588
 0.44000D+12 0.31623D+15   0.0150   22.893   20.754   25.985
 0.44000D+12 0.35481D+15   0.0150   22.334   20.751   24.092
 0.44000D+12 0.39811D+15   0.0150   22.323   20.751   23.924
 0.44000D+12 0.44668D+15   0.0150   22.323   20.751   23.924
 0.44000D+12 0.50119D+15   0.0150   22.323   20.751   23.924
 0.44000D+12 0.56234D+15   0.0150   22.323   20.751   23.924
 0.44000D+12 0.63096D+15   0.0150   22.323   20.751   23.924
 0.44000D+12 0.70795D+15   0.0150   22.323   20.751   23.924
 0.44000D+12 0.79433D+15   0.0150   22.323   20.751   23.924
 0.44000D+12 0.89125D+15   0.0150   22.323   20.751   23.924
 0.44000D+12 0.10000D+16   0.0150   22.323   20.751   23.924
 0.45000D+12 0.10000D+14   0.0150  131.585  128.381  134.541
 0.45000D+12 0.11220D+14   0.0150  130.212  126.781  133.388
 0.45000D+12 0.12589D+14   0.0150  128.705  125.031  132.118
 0.45000D+12 0.14125D+14   0.0150  127.049  123.129  130.706
 0.45000D+12 0.15849D+14   0.0150  125.225  121.050  129.135
 0.45000D+12 0.17783D+14   0.0150  123.214  118.785  127.382
 0.45000D+12 0.19953D+14   0.0150  120.995  116.316  125.420
 0.45000D+12 0.22387D+14   0.0150  118.545  113.620  123.224
 0.45000D+12 0.25119D+14   0.0150  115.843  110.691  120.769
 0.45000D+12 0.28184D+14   0.0150  112.867  107.490  118.026
 0.45000D+12 0.31623D+14   0.0150  109.597  104.020  114.976
 0.45000D+12 0.35481D+14   0.0150  106.020  100.259  111.600
 0.45000D+12 0.39811D+14   0.0150  102.125   96.196  107.884
 0.45000D+12 0.44668D+14   0.0150   97.914   91.842  103.840
 0.45000D+12 0.50119D+14   0.0150   93.398   87.206   99.465
 0.45000D+12 0.56234D+14   0.0150   88.601   82.302   94.784
 0.45000D+12 0.63096D+14   0.0150   83.557   77.171   89.840
 0.45000D+12 0.70795D+14   0.0150   78.315   71.863   84.677
 0.45000D+12 0.79433D+14   0.0150   72.931   66.434   79.348
 0.45000D+12 0.89125D+14   0.0150   67.470   60.948   73.918
 0.45000D+12 0.10000D+15   0.0150   61.999   55.474   68.455
 0.45000D+12 0.11220D+15   0.0150   56.587   50.082   63.028
 0.45000D+12 0.12589D+15   0.0150   51.302   44.840   57.703
 0.45000D+12 0.14125D+15   0.0150   46.203   39.811   52.538
 0.45000D+12 0.15849D+15   0.0150   41.344   35.041   47.588
 0.45000D+12 0.17783D+15   0.0150   36.768   30.583   42.902
 0.45000D+12 0.19953D+15   0.0150   32.506   26.476   38.499
 0.45000D+12 0.22387D+15   0.0150   28.581   22.739   34.399
 0.45000D+12 0.25119D+15   0.0150   25.448   20.751   30.779
 0.45000D+12 0.28184D+15   0.0150   23.638   20.586   27.822
 0.45000D+12 0.31623D+15   0.0150   22.531   20.566   25.333
 0.45000D+12 0.35481D+15   0.0150   22.146   20.565   23.758
 0.45000D+12 0.39811D+15   0.0150   22.146   20.565   23.758
 0.45000D+12 0.44668D+15   0.0150   22.146   20.565   23.758
 0.45000D+12 0.50119D+15   0.0150   22.146   20.565   23.758
 0.45000D+12 0.56234D+15   0.0150   22.146   20.565   23.758
 0.45000D+12 0.63096D+15   0.0150   22.146   20.565   23.758
 0.45000D+12 0.70795D+15   0.0150   22.146   20.565   23.758
 0.45000D+12 0.79433D+15   0.0150   22.146   20.565   23.758
 0.45000D+12 0.89125D+15   0.0150   22.146   20.565   23.758
 0.45000D+12 0.10000D+16   0.0150   22.146   20.565   23.758
 0.46000D+12 0.10000D+14   0.0150  131.205  127.889  134.264
 0.46000D+12 0.11220D+14   0.0150  129.795  126.243  133.081
 0.46000D+12 0.12589D+14   0.0150  128.247  124.445  131.778
 0.46000D+12 0.14125D+14   0.0150  126.544  122.493  130.327
 0.46000D+12 0.15849D+14   0.0150  124.669  120.354  128.713
 0.46000D+12 0.17783D+14   0.0150  122.601  118.028  126.906
 0.46000D+12 0.19953D+14   0.0150  120.318  115.490  124.888
 0.46000D+12 0.22387D+14   0.0150  117.799  112.723  122.624
 0.46000D+12 0.25119D+14   0.0150  115.021  109.713  120.097
 0.46000D+12 0.28184D+14   0.0150  111.963  106.431  117.271
 0.46000D+12 0.31623D+14   0.0150  108.606  102.876  114.136
 0.46000D+12 0.35481D+14   0.0150  104.939   99.024  110.669
 0.46000D+12 0.39811D+14   0.0150  100.953   94.873  106.861
 0.46000D+12 0.44668D+14   0.0150   96.653   90.433  102.725
 0.46000D+12 0.50119D+14   0.0150   92.053   85.717   98.262
 0.46000D+12 0.56234D+14   0.0150   87.180   80.739   93.501
 0.46000D+12 0.63096D+14   0.0150   82.073   75.549   88.490
 0.46000D+12 0.70795D+14   0.0150   76.783   70.197   83.273
 0.46000D+12 0.79433D+14   0.0150   71.367   64.743   77.907
 0.46000D+12 0.89125D+14   0.0150   65.894   59.251   72.459
 0.46000D+12 0.10000D+15   0.0150   60.431   53.791   66.997
 0.46000D+12 0.11220D+15   0.0150   55.046   48.434   61.589
 0.46000D+12 0.12589D+15   0.0150   49.806   43.246   56.300
 0.46000D+12 0.14125D+15   0.0150   44.769   38.288   51.188
 0.46000D+12 0.15849D+15   0.0150   39.985   33.602   46.307
 0.46000D+12 0.17783D+15   0.0150   35.495   29.244   41.695
 0.46000D+12 0.19953D+15   0.0150   31.327   25.248   37.373
 0.46000D+12 0.22387D+15   0.0150   27.500   21.621   33.355
 0.46000D+12 0.25119D+15   0.0150   24.790   20.493   29.942
 0.46000D+12 0.28184D+15   0.0150   23.162   20.392   27.080
