R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
   19.32   22.91 0.18603D-08  1  0  0.00848  271.33  268.98 0.12603D+15  2.183   23.346   22.771    9.772   42.189   10.20   13.99   18.70
   19.64   23.30 0.18302D-08  1  0  0.00850  271.30  268.98 0.12563D+15  2.184   22.963   22.389    9.678   42.093   10.22   13.95   19.02
   19.96   23.69 0.18010D-08  1  0  0.00852  271.26  268.98 0.12523D+15  2.184   22.593   22.019    9.585   41.999   10.24   13.91   19.35
   20.29   24.08 0.17728D-08  1  0  0.00854  271.23  268.98 0.12484D+15  2.184   22.235   21.661    9.494   41.907   10.26   13.87   19.67
   20.61   24.47 0.17454D-08  1  0  0.00856  271.20  268.98 0.12445D+15  2.184   21.888   21.314    9.405   41.816   10.28   13.84   20.00
   20.93   24.86 0.17190D-08  1  0  0.00859  271.16  268.98 0.12407D+15  2.185   21.552   20.977    9.317   41.727   10.29   13.81   20.32
   21.25   25.25 0.16933D-08  1  0  0.00861  271.13  268.98 0.12370D+15  2.185   21.225   20.651    9.231   41.639   10.31   13.77   20.65
   21.57   25.64 0.16683D-08  1  0  0.00863  271.10  268.98 0.12333D+15  2.185   20.909   20.335    9.146   41.552   10.33   13.75   20.97
   21.90   26.03 0.16441D-08  1  0  0.00865  271.06  268.98 0.12297D+15  2.186   20.602   20.028    9.062   41.467   10.34   13.72   21.30
   22.22   26.42 0.16206D-08  1  0  0.00867  271.03  268.98 0.12261D+15  2.186   20.303   19.729    8.980   41.384   10.36   13.69   21.62
   22.54   26.81 0.15978D-08  1  0  0.00870  271.00  268.98 0.12226D+15  2.186   20.013   19.440    8.899   41.301   10.38   13.67   21.95
   22.86   27.20 0.15756D-08  1  0  0.00872  270.96  268.97 0.12191D+15  2.186   19.732   19.158    8.819   41.220   10.39   13.64   22.28
   23.18   27.59 0.15541D-08  1  0  0.00874  270.93  268.97 0.12157D+15  2.187   19.458   18.884    8.740   41.140   10.41   13.62   22.60
   23.51   27.98 0.15331D-08  1  0  0.00876  270.90  268.97 0.12123D+15  2.187   19.192   18.618    8.663   41.061   10.43   13.60   22.93
   23.83   28.37 0.15127D-08  1  0  0.00879  270.86  268.96 0.12090D+15  2.187   18.933   18.359    8.586   40.984   10.44   13.58   23.25
   24.15   28.76 0.14928D-08  1  0  0.00881  270.83  268.96 0.12057D+15  2.188   18.680   18.107    8.511   40.907   10.46   13.56   23.58
   24.47   29.15 0.14735D-08  1  0  0.00883  270.79  268.95 0.12024D+15  2.188   18.435   17.861    8.436   40.832   10.47   13.55   23.90
   24.79   29.54 0.14547D-08  1  0  0.00885  270.76  268.95 0.11992D+15  2.188   18.196   17.622    8.363   40.757   10.49   13.53   24.23
   25.12   29.93 0.14363D-08  1  0  0.00888  270.73  268.94 0.11960D+15  2.188   17.963   17.389    8.291   40.684   10.50   13.51   24.56
   25.44   30.32 0.14184D-08  1  0  0.00890  270.69  268.94 0.11929D+15  2.189   17.735   17.162    8.219   40.611   10.52   13.50   24.88
   25.76   30.71 0.14010D-08  1  0  0.00892  270.66  268.93 0.11898D+15  2.189   17.514   16.941    8.149   40.540   10.53   13.49   25.21
   26.08   31.11 0.13840D-08  1  0  0.00895  270.62  268.93 0.11867D+15  2.189   17.298   16.725    8.079   40.469   10.54   13.47   25.54
   26.40   31.50 0.13674D-08  1  0  0.00897  270.59  268.92 0.11837D+15  2.190   17.087   16.514    8.011   40.400   10.56   13.46   25.86
   26.73   31.89 0.13512D-08  1  0  0.00899  270.56  268.92 0.11807D+15  2.190   16.881   16.308    7.943   40.331   10.57   13.45   26.19
   27.05   32.28 0.13354D-08  1  0  0.00902  270.52  268.91 0.11778D+15  2.190   16.680   16.107    7.876   40.263   10.58   13.44   26.52
   27.37   32.67 0.13200D-08  1  0  0.00904  270.49  268.90 0.11748D+15  2.190   16.484   15.911    7.810   40.196   10.60   13.43   26.84
   27.69   33.06 0.13049D-08  1  0  0.00907  270.45  268.89 0.11720D+15  2.191   16.293   15.720    7.744   40.130   10.61   13.42   27.17
   28.01   33.45 0.12901D-08  1  0  0.00909  270.42  268.89 0.11691D+15  2.191   16.106   15.533    7.680   40.064   10.62   13.41   27.50
   28.34   33.84 0.12757D-08  1  0  0.00911  270.38  268.88 0.11663D+15  2.191   15.923   15.350    7.616   40.000   10.64   13.40   27.82
   28.66   34.23 0.12617D-08  1  0  0.00914  270.35  268.87 0.11635D+15  2.192   15.744   15.171    7.553   39.936   10.65   13.39   28.15
   28.98   34.62 0.12479D-08  1  0  0.00916  270.32  268.86 0.11607D+15  2.192   15.569   14.997    7.490   39.872   10.66   13.38   28.48
   29.30   35.01 0.12345D-08  1  0  0.00919  270.28  268.86 0.11580D+15  2.192   15.398   14.826    7.429   39.810   10.67   13.37   28.80
   29.62   35.41 0.12213D-08  1  0  0.00921  270.25  268.85 0.11553D+15  2.193   15.231   14.658    7.367   39.748   10.69   13.37   29.13
   29.95   35.80 0.12084D-08  1  0  0.00924  270.21  268.84 0.11526D+15  2.193   15.067   14.495    7.307   39.687   10.70   13.36   29.46
   30.27   36.19 0.11958D-08  1  0  0.00926  270.18  268.83 0.11500D+15  2.193   14.907   14.335    7.247   39.627   10.71   13.35   29.78
   30.59   36.58 0.11835D-08  1  0  0.00929  270.14  268.82 0.11474D+15  2.193   14.750   14.178    7.188   39.567   10.72   13.35   30.11
   30.91   36.97 0.11714D-08  1  0  0.00931  270.11  268.81 0.11448D+15  2.194   14.597   14.024    7.129   39.508   10.73   13.34   30.44
   31.23   37.36 0.11595D-08  1  0  0.00934  270.07  268.80 0.11422D+15  2.194   14.446   13.874    7.072   39.449   10.75   13.34   30.77
   31.56   37.75 0.11480D-08  1  0  0.00936  270.04  268.79 0.11397D+15  2.194   14.299   13.727    7.014   39.391   10.76   13.33   31.09
   31.88   38.14 0.11366D-08  1  0  0.00939  270.00  268.78 0.11372D+15  2.195   14.155   13.582    6.957   39.334   10.77   13.33   31.42
   32.20   38.54 0.11255D-08  1  0  0.00941  269.97  268.77 0.11347D+15  2.195   14.013   13.441    6.901   39.277   10.78   13.33   31.75
   32.52   38.93 0.11145D-08  1  0  0.00944  269.93  268.76 0.11322D+15  2.195   13.874   13.302    6.845   39.221   10.79   13.32   32.08
   32.84   39.32 0.11039D-08  1  0  0.00946  269.90  268.75 0.11298D+15  2.196   13.738   13.166    6.790   39.165   10.80   13.32   32.40
