R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.65164D-09 0.72000D+12 0.56234D+15   0.0150  1   40.250  0.01518  268.94  269.26    1.139   24.595   17.02
 0.72532D-09 0.72000D+12 0.63096D+15   0.0150  1   36.064  0.01462  269.43  269.70    1.000   24.468   17.20
 0.73170D-09 0.72000D+12 0.70795D+15   0.0150  1   35.742  0.01458  269.46  269.98    0.495   23.986   17.56
 0.38434D-09 0.72000D+12 0.79433D+15   0.0150  1   69.552  0.02049  265.09  266.19   -2.292   21.421   20.14
 0.40784D-09 0.72000D+12 0.89125D+15   0.0150  1   65.366  0.01953  265.70  266.61   -2.608   21.119   20.56
 0.42808D-09 0.72000D+12 0.10000D+16   0.0150  1   62.146  0.01885  266.14  266.98   -2.949   20.795   20.98
 0.34141D-09 0.73500D+12 0.28184D+15   0.0150  1   80.500  0.02348  263.41  264.79    0.739   24.668   15.98
 0.40489D-09 0.73500D+12 0.31623D+15   0.0150  1   67.298  0.01996  265.42  266.31    1.287   25.181   15.99
 0.45991D-09 0.73500D+12 0.35481D+15   0.0150  1   58.926  0.01821  266.58  267.26    1.413   25.311   16.11
 0.51726D-09 0.73500D+12 0.39811D+15   0.0150  1   52.164  0.01699  267.47  268.00    1.417   25.327   16.26
 0.57974D-09 0.73500D+12 0.44668D+15   0.0150  1   46.368  0.01606  268.20  268.61    1.360   25.284   16.42
 0.64513D-09 0.73500D+12 0.50119D+15   0.0150  1   41.538  0.01536  268.78  269.13    1.243   25.181   16.59
 0.72156D-09 0.73500D+12 0.56234D+15   0.0150  1   37.030  0.01475  269.31  269.59    1.124   25.074   16.77
 0.78136D-09 0.73500D+12 0.63096D+15   0.0150  1   34.132  0.01438  269.65  269.96    0.868   24.834   16.99
 0.74043D-09 0.73500D+12 0.70795D+15   0.0150  1   36.064  0.01462  269.43  270.16    0.132   24.129   17.45
 0.41438D-09 0.73500D+12 0.79433D+15   0.0150  1   65.688  0.01960  265.65  266.58   -2.460   21.746   19.96
 0.43483D-09 0.73500D+12 0.89125D+15   0.0150  1   62.468  0.01891  266.10  266.95   -2.812   21.412   20.37
 0.45991D-09 0.73500D+12 0.10000D+16   0.0150  1   58.926  0.01821  266.58  267.30   -3.152   21.085   20.79
 0.31621D-09 0.75000D+12 0.25119D+15   0.0150  1   89.194  0.02652  261.92  263.73    0.174   24.648   15.75
 0.39512D-09 0.75000D+12 0.28184D+15   0.0150  1   70.518  0.02073  264.95  265.95    1.258   25.640   15.62
 0.45267D-09 0.75000D+12 0.31623D+15   0.0150  1   61.180  0.01865  266.28  267.00    1.468   25.848   15.72
 0.50960D-09 0.75000D+12 0.35481D+15   0.0150  1   54.096  0.01732  267.22  267.79    1.494   25.886   15.86
 0.57231D-09 0.75000D+12 0.39811D+15   0.0150  1   47.978  0.01631  268.00  268.44    1.457   25.862   16.01
 0.63903D-09 0.75000D+12 0.44668D+15   0.0150  1   42.826  0.01554  268.63  268.99    1.359   25.779   16.18
 0.71213D-09 0.75000D+12 0.50119D+15   0.0150  1   38.318  0.01492  269.16  269.46    1.229   25.662   16.35
 0.79002D-09 0.75000D+12 0.56234D+15   0.0150  1   34.454  0.01442  269.61  269.87    1.063   25.509   16.54
 0.79002D-09 0.75000D+12 0.63096D+15   0.0150  1   34.454  0.01442  269.61  270.13    0.504   24.975   16.89
 0.41891D-09 0.75000D+12 0.70795D+15   0.0150  1   66.332  0.01975  265.56  266.54   -2.306   22.379   19.37
 0.44152D-09 0.75000D+12 0.79433D+15   0.0150  1   62.790  0.01898  266.06  266.91   -2.659   22.043   19.77
 0.46684D-09 0.75000D+12 0.89125D+15   0.0150  1   59.248  0.01827  266.54  267.26   -3.011   21.707   20.19
 0.48993D-09 0.75000D+12 0.10000D+16   0.0150  1   56.350  0.01772  266.93  267.59   -3.374   21.358   20.60
 0.38304D-09 0.76500D+12 0.25119D+15   0.0150  1   74.382  0.02172  264.37  265.51    1.176   26.050   15.28
 0.44381D-09 0.76500D+12 0.28184D+15   0.0150  1   63.756  0.01918  265.92  266.72    1.505   26.368   15.35
 0.50250D-09 0.76500D+12 0.31623D+15   0.0150  1   56.028  0.01767  266.97  267.57    1.584   26.455   15.48
 0.56186D-09 0.76500D+12 0.35481D+15   0.0150  1   49.910  0.01662  267.75  268.24    1.538   26.424   15.63
 0.62885D-09 0.76500D+12 0.39811D+15   0.0150  1   44.436  0.01577  268.43  268.82    1.459   26.360   15.79
 0.70334D-09 0.76500D+12 0.44668D+15   0.0150  1   39.606  0.01509  269.01  269.32    1.347   26.263   15.95
