R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
   16.10   19.40 0.21386D-08  0  0  0.01243  271.62  268.62 0.13470D+15  2.181   28.004   27.429   12.110   43.213   16.10   16.10   16.10
   16.42   19.79 0.20971D-08  0  0  0.01246  271.59  268.63 0.13423D+15  2.181   27.455   26.880   11.557   42.667   16.42   16.42   16.42
   16.74   19.78 0.20572D-08  1  0  0.01249  271.55  268.63 0.13376D+15  2.181   26.927   26.353   11.391   42.499   10.16   14.45   16.08
   17.07   20.17 0.20188D-08  1  0  0.01252  271.52  268.63 0.13331D+15  2.182   26.420   25.845   11.280   42.386   10.18   14.38   16.40
   17.39   20.56 0.19818D-08  1  0  0.01255  271.48  268.64 0.13286D+15  2.182   25.931   25.356   11.171   42.275   10.20   14.32   16.73
   17.71   20.95 0.19462D-08  1  0  0.01258  271.45  268.64 0.13242D+15  2.182   25.459   24.885   11.064   42.166   10.22   14.27   17.05
   18.03   21.34 0.19118D-08  1  0  0.01261  271.42  268.64 0.13199D+15  2.182   25.005   24.431   10.960   42.059   10.25   14.22   17.37
   18.35   21.72 0.18787D-08  1  0  0.01264  271.38  268.64 0.13157D+15  2.183   24.567   23.992   10.857   41.955   10.27   14.17   17.70
   18.68   22.11 0.18467D-08  1  0  0.01267  271.35  268.64 0.13115D+15  2.183   24.143   23.569   10.756   41.852   10.29   14.12   18.02
   19.00   22.50 0.18158D-08  1  0  0.01271  271.31  268.64 0.13074D+15  2.183   23.734   23.160   10.658   41.751   10.31   14.08   18.35
   19.32   22.89 0.17859D-08  1  0  0.01274  271.28  268.64 0.13034D+15  2.184   23.339   22.765   10.561   41.652   10.33   14.04   18.67
   19.64   23.28 0.17569D-08  1  0  0.01277  271.25  268.64 0.12994D+15  2.184   22.957   22.383   10.465   41.555   10.35   14.00   19.00
   19.96   23.67 0.17290D-08  1  0  0.01280  271.21  268.64 0.12955D+15  2.184   22.587   22.013   10.372   41.460   10.37   13.96   19.32
