R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA   zbot_avg zbot_min zbot_max
 0.75000D+11 0.79433D+14   0.0150  142.688  142.047  143.321
 0.75000D+11 0.89125D+14   0.0150  142.226  141.550  142.896
 0.75000D+11 0.10000D+15   0.0150  141.734  141.020  142.445
 0.75000D+11 0.11220D+15   0.0150  141.209  140.453  141.963
 0.75000D+11 0.12589D+15   0.0150  140.648  139.847  141.449
 0.75000D+11 0.14125D+15   0.0150  140.046  139.197  140.899
 0.75000D+11 0.15849D+15   0.0150  139.400  138.499  140.308
 0.75000D+11 0.17783D+15   0.0150  138.705  137.748  139.673
 0.75000D+11 0.19953D+15   0.0150  137.954  136.920  138.990
 0.75000D+11 0.22387D+15   0.0150  137.142  136.010  138.251
 0.75000D+11 0.25119D+15   0.0150  136.261  135.020  137.450
 0.75000D+11 0.28184D+15   0.0150  135.303  133.940  136.581
 0.75000D+11 0.31623D+15   0.0150  134.258  132.760  135.633
 0.75000D+11 0.35481D+15   0.0150  133.115  131.466  134.597
 0.75000D+11 0.39811D+15   0.0150  131.862  130.045  133.462
 0.75000D+11 0.44668D+15   0.0150  130.483  128.479  132.214
 0.75000D+11 0.50119D+15   0.0150  128.962  126.751  130.838
 0.75000D+11 0.56234D+15   0.0150  127.279  124.838  129.316
 0.75000D+11 0.63096D+15   0.0150  125.414  122.718  127.631
 0.75000D+11 0.70795D+15   0.0150  123.341  120.364  125.756
 0.75000D+11 0.79433D+15   0.0150  121.036  117.750  123.671
 0.75000D+11 0.89125D+15   0.0150  118.471  114.848  121.347
 0.75000D+11 0.10000D+16   0.0150  115.618  111.633  118.757
 0.90000D+11 0.10000D+14   0.0150  147.671  147.352  147.979
 0.90000D+11 0.11220D+14   0.0150  147.474  147.143  147.795
 0.90000D+11 0.12589D+14   0.0150  147.270  146.926  147.604
 0.90000D+11 0.14125D+14   0.0150  147.056  146.698  147.404
 0.90000D+11 0.15849D+14   0.0150  146.833  146.460  147.196
 0.90000D+11 0.17783D+14   0.0150  146.600  146.211  146.979
 0.90000D+11 0.19953D+14   0.0150  146.357  145.950  146.752
 0.90000D+11 0.22387D+14   0.0150  146.101  145.676  146.514
 0.90000D+11 0.25119D+14   0.0150  145.834  145.389  146.266
 0.90000D+11 0.28184D+14   0.0150  145.553  145.087  146.005
 0.90000D+11 0.31623D+14   0.0150  145.257  144.770  145.731
 0.90000D+11 0.35481D+14   0.0150  144.947  144.435  145.443
 0.90000D+11 0.39811D+14   0.0150  144.619  144.083  145.141
 0.90000D+11 0.44668D+14   0.0150  144.273  143.710  144.822
 0.90000D+11 0.50119D+14   0.0150  143.908  143.315  144.486
 0.90000D+11 0.56234D+14   0.0150  143.522  142.898  144.131
 0.90000D+11 0.63096D+14   0.0150  143.112  142.455  143.755
 0.90000D+11 0.70795D+14   0.0150  142.678  141.984  143.356
 0.90000D+11 0.79433D+14   0.0150  142.215  141.483  142.933
 0.90000D+11 0.89125D+14   0.0150  141.723  140.949  142.483
 0.90000D+11 0.10000D+15   0.0150  141.197  140.379  142.003
 0.90000D+11 0.11220D+15   0.0150  140.635  139.768  141.490
 0.90000D+11 0.12589D+15   0.0150  140.032  139.114  140.941
 0.90000D+11 0.14125D+15   0.0150  139.384  138.411  140.353
 0.90000D+11 0.15849D+15   0.0150  138.687  137.654  139.720
 0.90000D+11 0.17783D+15   0.0150  137.935  136.837  139.038
 0.90000D+11 0.19953D+15   0.0150  137.121  135.954  138.300
 0.90000D+11 0.22387D+15   0.0150  136.238  134.997  137.501
 0.90000D+11 0.25119D+15   0.0150  135.278  133.915  136.632
 0.90000D+11 0.28184D+15   0.0150  134.230  132.729  135.685
 0.90000D+11 0.31623D+15   0.0150  133.085  131.429  134.650
 0.90000D+11 0.35481D+15   0.0150  131.828  130.001  133.514
 0.90000D+11 0.39811D+15   0.0150  130.445  128.428  132.265
 0.90000D+11 0.44668D+15   0.0150  128.919  126.692  130.885
 0.90000D+11 0.50119D+15   0.0150  127.231  124.772  129.361
 0.90000D+11 0.56234D+15   0.0150  125.359  122.643  127.668
 0.90000D+11 0.63096D+15   0.0150  123.279  120.281  125.788
 0.90000D+11 0.70795D+15   0.0150  120.965  117.657  123.691
 0.90000D+11 0.79433D+15   0.0150  118.389  114.745  121.356
 0.90000D+11 0.89125D+15   0.0150  115.522  111.519  118.749
 0.90000D+11 0.10000D+16   0.0150  112.340  107.956  115.847
 0.10500D+12 0.10000D+14   0.0150  147.476  147.121  147.818
 0.10500D+12 0.11220D+14   0.0150  147.271  146.902  147.628
 0.10500D+12 0.12589D+14   0.0150  147.058  146.673  147.429
 0.10500D+12 0.14125D+14   0.0150  146.835  146.434  147.222
 0.10500D+12 0.15849D+14   0.0150  146.602  146.184  147.006
 0.10500D+12 0.17783D+14   0.0150  146.358  145.922  146.780
 0.10500D+12 0.19953D+14   0.0150  146.103  145.647  146.543
 0.10500D+12 0.22387D+14   0.0150  145.836  145.358  146.296
 0.10500D+12 0.25119D+14   0.0150  145.555  145.055  146.036
 0.10500D+12 0.28184D+14   0.0150  145.259  144.736  145.764
 0.10500D+12 0.31623D+14   0.0150  144.948  144.400  145.478
 0.10500D+12 0.35481D+14   0.0150  144.621  144.045  145.177
 0.10500D+12 0.39811D+14   0.0150  144.275  143.671  144.860
 0.10500D+12 0.44668D+14   0.0150  143.910  143.274  144.525
 0.10500D+12 0.50119D+14   0.0150  143.524  142.854  144.172
 0.10500D+12 0.56234D+14   0.0150  143.115  142.409  143.798
 0.10500D+12 0.63096D+14   0.0150  142.680  141.936  143.401
 0.10500D+12 0.70795D+14   0.0150  142.217  141.432  142.980
 0.10500D+12 0.79433D+14   0.0150  141.725  140.895  142.532
 0.10500D+12 0.89125D+14   0.0150  141.199  140.321  142.055
 0.10500D+12 0.10000D+15   0.0150  140.637  139.707  141.545
 0.10500D+12 0.11220D+15   0.0150  140.034  139.050  140.999
 0.10500D+12 0.12589D+15   0.0150  139.386  138.344  140.413
 0.10500D+12 0.14125D+15   0.0150  138.689  137.582  139.784
 0.10500D+12 0.15849D+15   0.0150  137.937  136.761  139.105
 0.10500D+12 0.17783D+15   0.0150  137.123  135.874  138.370
 0.10500D+12 0.19953D+15   0.0150  136.240  134.912  137.574
 0.10500D+12 0.22387D+15   0.0150  135.280  133.866  136.709
 0.10500D+12 0.25119D+15   0.0150  134.232  132.727  135.764
 0.10500D+12 0.28184D+15   0.0150  133.086  131.430  134.732
 0.10500D+12 0.31623D+15   0.0150  131.829  129.999  133.599
 0.10500D+12 0.35481D+15   0.0150  130.446  128.423  132.352
 0.10500D+12 0.39811D+15   0.0150  128.919  126.683  130.975
 0.10500D+12 0.44668D+15   0.0150  127.231  124.760  129.450
 0.10500D+12 0.50119D+15   0.0150  125.358  122.628  127.759
 0.10500D+12 0.56234D+15   0.0150  123.277  120.264  125.876
 0.10500D+12 0.63096D+15   0.0150  120.961  117.638  123.778
 0.10500D+12 0.70795D+15   0.0150  118.381  114.724  121.437
 0.10500D+12 0.79433D+15   0.0150  115.511  111.494  118.825
 0.10500D+12 0.89125D+15   0.0150  112.322  107.927  115.911
 0.10500D+12 0.10000D+16   0.0150  108.793  104.007  112.673
 0.12000D+12 0.10000D+14   0.0150  147.278  146.886  147.656
 0.12000D+12 0.11220D+14   0.0150  147.065  146.656  147.458
 0.12000D+12 0.12589D+14   0.0150  146.843  146.416  147.252
 0.12000D+12 0.14125D+14   0.0150  146.610  146.165  147.037
 0.12000D+12 0.15849D+14   0.0150  146.367  145.902  146.812
 0.12000D+12 0.17783D+14   0.0150  146.112  145.626  146.578
 0.12000D+12 0.19953D+14   0.0150  145.845  145.337  146.332
 0.12000D+12 0.22387D+14   0.0150  145.564  145.032  146.074
 0.12000D+12 0.25119D+14   0.0150  145.269  144.712  145.803
 0.12000D+12 0.28184D+14   0.0150  144.959  144.375  145.519
 0.12000D+12 0.31623D+14   0.0150  144.632  144.019  145.220
 0.12000D+12 0.35481D+14   0.0150  144.287  143.643  144.905
 0.12000D+12 0.39811D+14   0.0150  143.922  143.245  144.572
 0.12000D+12 0.44668D+14   0.0150  143.536  142.824  144.221
 0.12000D+12 0.50119D+14   0.0150  143.128  142.377  143.850
 0.12000D+12 0.56234D+14   0.0150  142.694  141.902  143.456
 0.12000D+12 0.63096D+14   0.0150  142.232  141.396  143.038
 0.12000D+12 0.70795D+14   0.0150  141.740  140.857  142.593
 0.12000D+12 0.79433D+14   0.0150  141.215  140.281  142.118
 0.12000D+12 0.89125D+14   0.0150  140.654  139.665  141.612
 0.12000D+12 0.10000D+15   0.0150  140.052  139.005  141.070
 0.12000D+12 0.11220D+15   0.0150  139.406  138.297  140.489
 0.12000D+12 0.12589D+15   0.0150  138.711  137.533  139.862
 0.12000D+12 0.14125D+15   0.0150  137.960  136.709  139.189
 0.12000D+12 0.15849D+15   0.0150  137.147  135.820  138.459
 0.12000D+12 0.17783D+15   0.0150  136.266  134.855  137.667
 0.12000D+12 0.19953D+15   0.0150  135.308  133.807  136.808
 0.12000D+12 0.22387D+15   0.0150  134.263  132.667  135.869
 0.12000D+12 0.25119D+15   0.0150  133.119  131.422  134.842
 0.12000D+12 0.28184D+15   0.0150  131.865  130.037  133.716
 0.12000D+12 0.31623D+15   0.0150  130.485  128.462  132.474
 0.12000D+12 0.35481D+15   0.0150  128.962  126.723  131.104
 0.12000D+12 0.39811D+15   0.0150  127.278  124.801  129.585
 0.12000D+12 0.44668D+15   0.0150  125.409  122.673  127.898
 0.12000D+12 0.50119D+15   0.0150  123.333  120.312  126.021
 0.12000D+12 0.56234D+15   0.0150  121.022  117.691  123.927
 0.12000D+12 0.63096D+15   0.0150  118.447  114.782  121.590
 0.12000D+12 0.70795D+15   0.0150  115.581  111.559  118.979
 0.12000D+12 0.79433D+15   0.0150  112.395  107.996  116.067
 0.12000D+12 0.89125D+15   0.0150  108.867  104.079  112.824
 0.12000D+12 0.10000D+16   0.0150  104.980   99.802  109.233
 0.13500D+12 0.10000D+14   0.0150  147.078  146.646  147.492
 0.13500D+12 0.11220D+14   0.0150  146.856  146.406  147.287
 0.13500D+12 0.12589D+14   0.0150  146.624  146.154  147.074
 0.13500D+12 0.14125D+14   0.0150  146.381  145.891  146.850
 0.13500D+12 0.15849D+14   0.0150  146.127  145.614  146.617
 0.13500D+12 0.17783D+14   0.0150  145.861  145.324  146.372
 0.13500D+12 0.19953D+14   0.0150  145.581  145.019  146.117
 0.13500D+12 0.22387D+14   0.0150  145.287  144.698  145.848
 0.13500D+12 0.25119D+14   0.0150  144.977  144.360  145.566
 0.13500D+12 0.28184D+14   0.0150  144.651  144.004  145.269
 0.13500D+12 0.31623D+14   0.0150  144.307  143.627  144.957
 0.13500D+12 0.35481D+14   0.0150  143.944  143.228  144.627
 0.13500D+12 0.39811D+14   0.0150  143.559  142.806  144.278
 0.13500D+12 0.44668D+14   0.0150  143.151  142.358  143.909
 0.13500D+12 0.50119D+14   0.0150  142.719  141.882  143.519
 0.13500D+12 0.56234D+14   0.0150  142.259  141.376  143.105
 0.13500D+12 0.63096D+14   0.0150  141.769  140.835  142.664
 0.13500D+12 0.70795D+14   0.0150  141.246  140.258  142.193
 0.13500D+12 0.79433D+14   0.0150  140.686  139.641  141.691
 0.13500D+12 0.89125D+14   0.0150  140.087  138.980  141.154
 0.13500D+12 0.10000D+15   0.0150  139.443  138.270  140.578
 0.13500D+12 0.11220D+15   0.0150  138.750  137.505  139.957
 0.13500D+12 0.12589D+15   0.0150  138.002  136.681  139.288
 0.13500D+12 0.14125D+15   0.0150  137.193  135.791  138.566
 0.13500D+12 0.15849D+15   0.0150  136.316  134.826  137.782
 0.13500D+12 0.17783D+15   0.0150  135.362  133.778  136.928
 0.13500D+12 0.19953D+15   0.0150  134.321  132.637  135.999
 0.13500D+12 0.22387D+15   0.0150  133.183  131.394  134.980
 0.13500D+12 0.25119D+15   0.0150  131.935  130.031  133.862
 0.13500D+12 0.28184D+15   0.0150  130.562  128.536  132.630
 0.13500D+12 0.31623D+15   0.0150  129.046  126.811  131.268
 0.13500D+12 0.35481D+15   0.0150  127.370  124.895  129.761
 0.13500D+12 0.39811D+15   0.0150  125.512  122.775  128.084
 0.13500D+12 0.44668D+15   0.0150  123.445  120.423  126.219
 0.13500D+12 0.50119D+15   0.0150  121.146  117.814  124.135
 0.13500D+12 0.56234D+15   0.0150  118.583  114.918  121.810
