R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA   dlid_avg dlid_min dlid_max
 0.43000D+12 0.11220D+15   0.0150   14.716   13.986   15.466
 0.43000D+12 0.12589D+15   0.0150   14.885   14.142   15.650
 0.43000D+12 0.14125D+15   0.0150   15.050   14.288   15.832
 0.43000D+12 0.15849D+15   0.0150   15.207   14.423   16.012
 0.43000D+12 0.17783D+15   0.0150   15.356   14.544   16.187
 0.43000D+12 0.19953D+15   0.0150   15.496   14.650   16.358
 0.43000D+12 0.22387D+15   0.0150   15.626   14.740   16.524
 0.43000D+12 0.25119D+15   0.0150   15.746   14.812   16.686
 0.43000D+12 0.28184D+15   0.0150   17.997   15.232   22.707
 0.43000D+12 0.31623D+15   0.0150   19.363   15.966   23.385
 0.43000D+12 0.35481D+15   0.0150   21.168   17.019   23.928
 0.43000D+12 0.39811D+15   0.0150   22.503   20.941   24.092
 0.43000D+12 0.44668D+15   0.0150   22.503   20.941   24.092
 0.43000D+12 0.50119D+15   0.0150   22.503   20.941   24.092
 0.43000D+12 0.56234D+15   0.0150   22.503   20.941   24.092
 0.43000D+12 0.63096D+15   0.0150   22.503   20.941   24.092
 0.43000D+12 0.70795D+15   0.0150   22.503   20.941   24.092
 0.43000D+12 0.79433D+15   0.0150   22.503   20.941   24.092
 0.43000D+12 0.89125D+15   0.0150   22.503   20.941   24.092
 0.43000D+12 0.10000D+16   0.0150   22.503   20.941   24.092
 0.44000D+12 0.10000D+14   0.0150   11.816   10.881   12.835
 0.44000D+12 0.11220D+14   0.0150   11.899   10.977   12.904
 0.44000D+12 0.12589D+14   0.0150   11.985   11.078   12.975
 0.44000D+12 0.14125D+14   0.0150   12.074   11.184   13.046
 0.44000D+12 0.15849D+14   0.0150   12.167   11.296   13.118
 0.44000D+12 0.17783D+14   0.0150   12.265   11.413   13.191
 0.44000D+12 0.19953D+14   0.0150   12.367   11.535   13.266
 0.44000D+12 0.22387D+14   0.0150   12.474   11.663   13.346
 0.44000D+12 0.25119D+14   0.0150   12.586   11.797   13.432
 0.44000D+12 0.28184D+14   0.0150   12.705   11.935   13.524
 0.44000D+12 0.31623D+14   0.0150   12.831   12.079   13.626
 0.44000D+12 0.35481D+14   0.0150   12.963   12.227   13.737
 0.44000D+12 0.39811D+14   0.0150   13.103   12.380   13.859
 0.44000D+12 0.44668D+14   0.0150   13.250   12.537   13.991
 0.44000D+12 0.50119D+14   0.0150   13.404   12.698   14.135
 0.44000D+12 0.56234D+14   0.0150   13.564   12.863   14.288
 0.44000D+12 0.63096D+14   0.0150   13.729   13.030   14.450
 0.44000D+12 0.70795D+14   0.0150   13.899   13.198   14.620
 0.44000D+12 0.79433D+14   0.0150   14.071   13.366   14.796
 0.44000D+12 0.89125D+14   0.0150   14.244   13.533   14.976
 0.44000D+12 0.10000D+15   0.0150   14.417   13.697   15.158
 0.44000D+12 0.11220D+15   0.0150   14.587   13.855   15.340
 0.44000D+12 0.12589D+15   0.0150   14.753   14.006   15.522
 0.44000D+12 0.14125D+15   0.0150   14.914   14.147   15.702
 0.44000D+12 0.15849D+15   0.0150   15.067   14.276   15.879
 0.44000D+12 0.17783D+15   0.0150   15.212   14.391   16.051
 0.44000D+12 0.19953D+15   0.0150   15.347   14.491   16.219
 0.44000D+12 0.22387D+15   0.0150   15.473   14.574   16.383
 0.44000D+12 0.25119D+15   0.0150   16.435   14.656   21.649
 0.44000D+12 0.28184D+15   0.0150   18.155   15.226   22.721
 0.44000D+12 0.31623D+15   0.0150   19.511   16.014   23.278
 0.44000D+12 0.35481D+15   0.0150   21.734   17.106   23.837
 0.44000D+12 0.39811D+15   0.0150   22.323   20.751   23.924
 0.44000D+12 0.44668D+15   0.0150   22.323   20.751   23.924
 0.44000D+12 0.50119D+15   0.0150   22.323   20.751   23.924
 0.44000D+12 0.56234D+15   0.0150   22.323   20.751   23.924
 0.44000D+12 0.63096D+15   0.0150   22.323   20.751   23.924
 0.44000D+12 0.70795D+15   0.0150   22.323   20.751   23.924
 0.44000D+12 0.79433D+15   0.0150   22.323   20.751   23.924
 0.44000D+12 0.89125D+15   0.0150   22.323   20.751   23.924
 0.44000D+12 0.10000D+16   0.0150   22.323   20.751   23.924
 0.45000D+12 0.10000D+14   0.0150   11.698   10.768   12.713
 0.45000D+12 0.11220D+14   0.0150   11.781   10.865   12.782
