R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.12000D+13 0.44981D-09 0.32000D+14   0.0200  1  101.108  0.04300  258.37  262.19    0.000   39.189    9.16
 0.12125D+13 0.45859D-09 0.32000D+14   0.0200  1  100.142  0.04228  258.61  262.46   -0.000   39.597    9.09
 0.12250D+13 0.46895D-09 0.32000D+14   0.0200  1   98.854  0.04135  258.93  262.75    0.000   40.006    9.03
 0.12375D+13 0.47959D-09 0.32000D+14   0.0200  1   97.566  0.04046  259.24  263.04   -0.000   40.414    8.97
 0.12500D+13 0.49050D-09 0.32000D+14   0.0200  1   96.278  0.03961  259.54  263.32    0.000   40.822    8.92
 0.12625D+13 0.50330D-09 0.32000D+14   0.0200  1   94.668  0.03859  259.91  263.62    0.000   41.230    8.86
 0.12750D+13 0.51486D-09 0.32000D+14   0.0200  1   93.380  0.03781  260.20  263.89   -0.000   41.638    8.81
 0.12875D+13 0.52674D-09 0.32000D+14   0.0200  1   92.092  0.03706  260.48  264.15   -0.000   42.047    8.76
 0.13000D+13 0.54075D-09 0.32000D+14   0.0200  1   90.482  0.03616  260.82  264.42    0.000   42.455    8.71
 0.13125D+13 0.55336D-09 0.32000D+14   0.0200  1   89.194  0.03547  261.09  264.67    0.000   42.863    8.66
 0.13250D+13 0.56831D-09 0.32000D+14   0.0200  1   87.584  0.03464  261.42  264.93    0.000   43.271    8.62
 0.13375D+13 0.58174D-09 0.32000D+14   0.0200  1   86.296  0.03401  261.67  265.17   -0.000   43.680    8.58
 0.13500D+13 0.59771D-09 0.32000D+14   0.0200  1   84.686  0.03324  261.99  265.41    0.000   44.088    8.54
 0.13625D+13 0.61205D-09 0.32000D+14   0.0200  1   83.398  0.03265  262.23  265.63    0.000   44.496    8.49
 0.13750D+13 0.62916D-09 0.32000D+14   0.0200  1   81.788  0.03195  262.53  265.86    0.000   44.904    8.46
 0.13875D+13 0.64695D-09 0.32000D+14   0.0200  1   80.178  0.03127  262.83  266.09   -0.000   45.312    8.42
 0.14000D+13 0.66546D-09 0.32000D+14   0.0200  1   78.568  0.03061  263.12  266.30    0.000   45.721    8.38
 0.14125D+13 0.68473D-09 0.32000D+14   0.0200  1   76.958  0.02999  263.40  266.51   -0.000   46.129    8.35
 0.14250D+13 0.70481D-09 0.32000D+14   0.0200  1   75.348  0.02938  263.68  266.71   -0.000   46.537    8.32
 0.14375D+13 0.72575D-09 0.32000D+14   0.0200  1   73.738  0.02880  263.95  266.91   -0.000   46.945    8.29
 0.14500D+13 0.74762D-09 0.32000D+14   0.0200  1   72.128  0.02824  264.22  267.09    0.000   47.354    8.26
 0.14625D+13 0.77048D-09 0.32000D+14   0.0200  1   70.518  0.02770  264.48  267.27   -0.000   47.762    8.23
 0.14750D+13 0.79086D-09 0.32000D+14   0.0200  1   69.230  0.02729  264.68  267.44    0.000   48.170    8.20
 0.14875D+13 0.81569D-09 0.32000D+14   0.0200  1   67.620  0.02678  264.94  267.61    0.000   48.578    8.17
 0.15000D+13 0.84173D-09 0.32000D+14   0.0200  1   66.010  0.02629  265.19  267.76    0.000   48.986    8.15
 0.15125D+13 0.86905D-09 0.32000D+14   0.0200  1   64.400  0.02582  265.44  267.92   -0.000   49.395    8.12
 0.15250D+13 0.89776D-09 0.32000D+14   0.0200  1   62.790  0.02537  265.68  268.06    0.000   49.803    8.10
 0.15375D+13 0.92797D-09 0.32000D+14   0.0200  1   61.180  0.02492  265.92  268.20    0.000   50.211    8.07
 0.15500D+13 0.95980D-09 0.32000D+14   0.0200  1   59.570  0.02450  266.15  268.33    0.000   50.619    8.05
 0.15625D+13 0.99338D-09 0.32000D+14   0.0200  1   57.960  0.02408  266.38  268.45    0.000   51.028    8.03
 0.15750D+13 0.10289D-08 0.32000D+14   0.0200  1   56.350  0.02368  266.61  268.56   -0.000   51.436    8.01
 0.15875D+13 0.10604D-08 0.32000D+14   0.0200  1   55.062  0.02337  266.79  268.67   -0.000   51.844    7.99
 0.16000D+13 0.10998D-08 0.32000D+14   0.0200  1   53.452  0.02299  267.02  268.77    0.000   52.252    7.97
 0.16125D+13 0.11416D-08 0.32000D+14   0.0200  1   51.842  0.02263  267.24  268.86   -0.000   52.660    7.95
 0.16250D+13 0.11788D-08 0.32000D+14   0.0200  1   50.554  0.02234  267.41  268.96    0.000   53.069    7.93
 0.16375D+13 0.12257D-08 0.32000D+14   0.0200  1   48.944  0.02199  267.63  269.03    0.000   53.477    7.91
 0.16500D+13 0.12673D-08 0.32000D+14   0.0200  1   47.656  0.02172  267.80  269.11   -0.000   53.885    7.89
 0.16625D+13 0.13202D-08 0.32000D+14   0.0200  1   46.046  0.02139  268.01  269.17   -0.000   54.293    7.88
 0.16750D+13 0.13673D-08 0.32000D+14   0.0200  1   44.758  0.02113  268.18  269.23   -0.000   54.701    7.86
 0.16875D+13 0.14171D-08 0.32000D+14   0.0200  1   43.470  0.02088  268.34  269.29   -0.000   55.110    7.84
 0.17000D+13 0.14700D-08 0.32000D+14   0.0200  1   42.182  0.02063  268.51  269.34   -0.000   55.518    7.82
 0.17125D+13 0.15261D-08 0.32000D+14   0.0200  1   40.894  0.02039  268.67  269.39   -0.000   55.926    7.81
 0.17250D+13 0.15860D-08 0.32000D+14   0.0200  1   39.606  0.02016  268.83  269.42    0.000   56.334    7.79
 0.17375D+13 0.16498D-08 0.32000D+14   0.0200  1   38.318  0.01992  268.99  269.45   -0.000   56.743    7.78
 0.17500D+13 0.17180D-08 0.32000D+14   0.0200  1   37.030  0.01970  269.15  269.47    0.000   57.151    7.76
 0.17625D+13 0.17755D-08 0.32000D+14   0.0200  1   36.064  0.01953  269.26  269.51    0.000   57.559    7.74
 0.17750D+13 0.18528D-08 0.32000D+14   0.0200  1   34.776  0.01931  269.42  269.52   -0.000   57.967    7.73
 0.17875D+13 0.19180D-08 0.32000D+14   0.0200  1   33.810  0.01915  269.54  269.54    0.000   58.375    7.71
 0.18000D+13 0.20062D-08 0.32000D+14   0.0200  1   32.522  0.01894  269.69  269.53   -0.000   58.784    7.69
 0.18125D+13 0.20807D-08 0.32000D+14   0.0200  1   31.556  0.01879  269.80  269.54   -0.000   59.192    7.68
 0.18250D+13 0.21598D-08 0.32000D+14   0.0200  1   30.590  0.01863  269.92  269.55    0.000   59.600    7.66
 0.18375D+13 0.22441D-08 0.32000D+14   0.0200  1   29.624  0.01848  270.03  269.55    0.000   60.008    7.64
 0.18500D+13 0.23341D-08 0.32000D+14   0.0200  1   28.658  0.01834  270.14  269.54    0.000   60.417    7.62
 0.18625D+13 0.24303D-08 0.32000D+14   0.0200  1   27.692  0.01819  270.25  269.53    0.000   60.825    7.61
 0.18750D+13 0.25335D-08 0.32000D+14   0.0200  1   26.726  0.01805  270.36  269.51    0.000   61.233    7.59
 0.18875D+13 0.26444D-08 0.32000D+14   0.0200  1   25.760  0.01790  270.48  269.48   -0.000   61.641    7.57
 0.19000D+13 0.27290D-08 0.32000D+14   0.0200  1   25.116  0.01781  270.55  269.49   -0.000   62.049    7.56
 0.19125D+13 0.28551D-08 0.32000D+14   0.0200  1   23.945  0.01764  270.68  271.08   -0.000   62.458    7.03
 0.19250D+13 0.29512D-08 0.32000D+14   0.0200  1   23.193  0.01754  270.77  272.00   -0.000   62.866    6.82
 0.19375D+13 0.30958D-08 0.32000D+14   0.0200  1   22.269  0.01741  270.87  271.69    0.000   63.274    6.85
 0.19500D+13 0.32061D-08 0.32000D+14   0.0200  1   21.595  0.01732  270.94  271.99   -0.000   63.682    6.77
 0.19625D+13 0.33230D-08 0.32000D+14   0.0200  1   20.935  0.01723  271.02  272.18   -0.000   64.091    6.70
 0.19750D+13 0.35013D-08 0.32000D+14   0.0200  1   20.003  0.01710  271.12  271.91   -0.000   64.499    6.72
 0.19875D+13 0.36374D-08 0.32000D+14   0.0200  1   19.351  0.01701  271.19  272.01   -0.000   64.907    6.67
 0.20000D+13 0.37828D-08 0.32000D+14   0.0200  1   18.703  0.01693  271.26  272.08   -0.000   65.315    6.63
 0.20125D+13 0.39384D-08 0.32000D+14   0.0200  1   18.059  0.01684  271.33  272.12   -0.000   65.723    6.60
 0.20250D+13 0.41052D-08 0.32000D+14   0.0200  1   17.416  0.01676  271.40  272.13   -0.000   66.132    6.56
 0.20375D+13 0.42062D-08 0.32000D+14   0.0200  1   17.070  0.01672  271.44  272.42   -0.000   66.540    6.49
 0.20500D+13 0.43930D-08 0.32000D+14   0.0200  1   16.432  0.01663  271.51  272.38    0.000   66.948    6.46
 0.20625D+13 0.45946D-08 0.32000D+14   0.0200  1   15.795  0.01655  271.58  272.33    0.000   67.356    6.44
 0.20750D+13 0.47158D-08 0.32000D+14   0.0200  1   15.457  0.01651  271.62  272.54    0.000   67.765    6.38
 0.20875D+13 0.49441D-08 0.32000D+14   0.0200  1   14.822  0.01643  271.68  272.45    0.000   68.173    6.36
 0.21000D+13 0.51926D-08 0.32000D+14   0.0200  1   14.189  0.01635  271.75  272.33   -0.000   68.581    6.34
 0.21125D+13 0.53411D-08 0.32000D+14   0.0200  1   13.856  0.01631  271.79  272.49    0.000   68.989    6.29
 0.21250D+13 0.54965D-08 0.32000D+14   0.0200  0   13.524  0.01627  271.82  272.63    0.000   69.397    6.25
 0.21375D+13 0.57962D-08 0.32000D+14   0.0200  0   12.912  0.01620  271.89  272.25   -0.000   69.806    6.89
 0.21500D+13 0.59746D-08 0.32000D+14   0.0200  0   12.699  0.01617  271.91  270.92   -0.000   70.214   12.70
 0.21625D+13 0.60093D-08 0.32000D+14   0.0200  0   12.626  0.01616  271.92  268.69    0.000   70.622   12.63
 0.21750D+13 0.61977D-08 0.32000D+14   0.0200  0   12.553  0.01615  271.93  268.73   -0.000   71.030   12.55
 0.21875D+13 0.62334D-08 0.32000D+14   0.0200  0   12.483  0.01615  271.93  268.77   -0.000   71.439   12.48
 0.22000D+13 0.62690D-08 0.32000D+14   0.0200  0   12.414  0.01614  271.94  268.82   -0.000   71.847   12.41
 0.22125D+13 0.63046D-08 0.32000D+14   0.0200  0   12.344  0.01613  271.95  268.86   -0.000   72.255   12.34
 0.22250D+13 0.63402D-08 0.32000D+14   0.0200  0   12.274  0.01612  271.95  268.90   -0.000   72.663   12.27
 0.22375D+13 0.65423D-08 0.32000D+14   0.0200  0   12.206  0.01611  271.96  268.95    0.000   73.071   12.21
 0.22500D+13 0.65788D-08 0.32000D+14   0.0200  0   12.140  0.01610  271.97  268.99   -0.000   73.480   12.14
 0.22625D+13 0.66154D-08 0.32000D+14   0.0200  0   12.074  0.01610  271.98  269.03    0.000   73.888   12.07
 0.22750D+13 0.66519D-08 0.32000D+14   0.0200  0   12.008  0.01609  271.98  269.08   -0.000   74.296   12.01
 0.22875D+13 0.66885D-08 0.32000D+14   0.0200  0   11.942  0.01608  271.99  269.12    0.000   74.704   11.94
 0.23000D+13 0.69053D-08 0.32000D+14   0.0200  0   11.878  0.01607  272.00  269.16    0.000   75.113   11.88
 0.23125D+13 0.69429D-08 0.32000D+14   0.0200  0   11.815  0.01606  272.00  269.20   -0.000   75.521   11.82
 0.23250D+13 0.69804D-08 0.32000D+14   0.0200  0   11.753  0.01606  272.01  269.25    0.000   75.929   11.75
 0.23375D+13 0.70179D-08 0.32000D+14   0.0200  0   11.690  0.01605  272.02  269.29    0.000   76.337   11.69
 0.23500D+13 0.70555D-08 0.32000D+14   0.0200  0   11.628  0.01604  272.02  269.33    0.000   76.745   11.63
 0.23625D+13 0.72885D-08 0.32000D+14   0.0200  0   11.567  0.01604  272.03  269.37    0.000   77.154   11.57
 0.23750D+13 0.73271D-08 0.32000D+14   0.0200  0   11.507  0.01603  272.04  269.41    0.000   77.562   11.51
 0.23875D+13 0.73656D-08 0.32000D+14   0.0200  0   11.448  0.01602  272.04  269.46    0.000   77.970   11.45
 0.24000D+13 0.74042D-08 0.32000D+14   0.0200  0   11.389  0.01601  272.05  269.50    0.000   78.378   11.39
 0.24125D+13 0.74428D-08 0.32000D+14   0.0200  0   11.330  0.01601  272.05  269.54   -0.000   78.787   11.33
 0.24250D+13 0.74813D-08 0.32000D+14   0.0200  0   11.271  0.01600  272.06  269.58    0.000   79.195   11.27
 0.24375D+13 0.77332D-08 0.32000D+14   0.0200  0   11.215  0.01599  272.07  269.62   -0.000   79.603   11.21
 0.24500D+13 0.77728D-08 0.32000D+14   0.0200  0   11.159  0.01599  272.07  269.66    0.000   80.011   11.16
 0.24625D+13 0.78125D-08 0.32000D+14   0.0200  0   11.103  0.01598  272.08  269.70   -0.000   80.419   11.10
 0.24750D+13 0.78521D-08 0.32000D+14   0.0200  0   11.047  0.01597  272.08  269.74   -0.000   80.828   11.05
 0.24875D+13 0.78918D-08 0.32000D+14   0.0200  0   10.991  0.01597  272.09  269.78   -0.000   81.236   10.99
 0.25000D+13 0.81630D-08 0.32000D+14   0.0200  0   10.936  0.01596  272.10  269.82   -0.000   81.644   10.94
 0.25125D+13 0.82038D-08 0.32000D+14   0.0200  0   10.883  0.01595  272.10  269.86    0.000   82.052   10.88
 0.25250D+13 0.82447D-08 0.32000D+14   0.0200  0   10.830  0.01595  272.11  269.90    0.000   82.461   10.83
 0.25375D+13 0.82855D-08 0.32000D+14   0.0200  0   10.778  0.01594  272.11  269.94    0.000   82.869   10.78
 0.25500D+13 0.83263D-08 0.32000D+14   0.0200  0   10.725  0.01594  272.12  269.98   -0.000   83.277   10.72
 0.25625D+13 0.83671D-08 0.32000D+14   0.0200  0   10.672  0.01593  272.12  270.02    0.000   83.685   10.67
 0.25750D+13 0.86609D-08 0.32000D+14   0.0200  0   10.620  0.01592  272.13  270.06    0.000   84.093   10.62
 0.25875D+13 0.87030D-08 0.32000D+14   0.0200  0   10.570  0.01592  272.13  270.10   -0.000   84.502   10.57
 0.26000D+13 0.87450D-08 0.32000D+14   0.0200  0   10.521  0.01591  272.14  270.14   -0.000   84.910   10.52
 0.26125D+13 0.87870D-08 0.32000D+14   0.0200  0   10.471  0.01591  272.14  270.18   -0.000   85.318   10.47
 0.26250D+13 0.88291D-08 0.32000D+14   0.0200  0   10.421  0.01590  272.15  270.22    0.000   85.726   10.42
 0.26375D+13 0.88711D-08 0.32000D+14   0.0200  0   10.372  0.01589  272.15  270.26   -0.000   86.135   10.37
 0.26500D+13 0.89132D-08 0.32000D+14   0.0200  0   10.322  0.01589  272.16  270.30    0.000   86.543   10.32
 0.26625D+13 0.92332D-08 0.32000D+14   0.0200  0   10.274  0.01588  272.17  270.34   -0.000   86.951   10.27
 0.26750D+13 0.92765D-08 0.32000D+14   0.0200  0   10.228  0.01588  272.17  270.37   -0.000   87.359   10.23
 0.26875D+13 0.93199D-08 0.32000D+14   0.0200  0   10.181  0.01587  272.17  270.41    0.000   87.767   10.18
 0.27000D+13 0.93632D-08 0.32000D+14   0.0200  0   10.135  0.01587  272.18  270.45    0.000   88.176   10.13
 0.27125D+13 0.94065D-08 0.32000D+14   0.0200  0   10.088  0.01586  272.18  270.49   -0.000   88.584   10.09
