R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
   54.74   65.66 0.53740D-09  1  0  0.01743  267.14  265.58 0.12365D+15  2.219    8.227    7.660    7.874   33.457   12.26   14.21   54.23
   55.06   66.05 0.53437D-09  1  0  0.01749  267.09  265.55 0.12353D+15  2.220    8.179    7.612    7.836   33.419   12.27   14.22   54.55
   55.38   66.44 0.53138D-09  1  0  0.01755  267.05  265.53 0.12341D+15  2.220    8.131    7.564    7.799   33.381   12.28   14.22   54.88
   55.71   66.83 0.52841D-09  1  0  0.01761  267.01  265.50 0.12329D+15  2.220    8.083    7.517    7.761   33.343   12.28   14.23   55.20
   56.03   67.22 0.52549D-09  1  0  0.01767  266.97  265.48 0.12317D+15  2.221    8.037    7.470    7.724   33.306   12.29   14.24   55.53
   56.35   67.61 0.52259D-09  1  0  0.01772  266.93  265.45 0.12305D+15  2.221    7.990    7.424    7.687   33.268   12.30   14.25   55.85
   56.67   68.00 0.51973D-09  1  0  0.01778  266.88  265.43 0.12293D+15  2.221    7.945    7.378    7.650   33.231   12.31   14.26   56.18
   56.99   68.39 0.51690D-09  1  0  0.01784  266.84  265.40 0.12282D+15  2.222    7.899    7.333    7.613   33.193   12.32   14.26   56.50
   57.32   68.78 0.51411D-09  1  0  0.01790  266.80  265.38 0.12271D+15  2.222    7.855    7.289    7.576   33.156   12.32   14.27   56.83
   57.64   69.17 0.51134D-09  1  0  0.01796  266.75  265.35 0.12259D+15  2.223    7.811    7.244    7.539   33.119   12.33   14.28   57.15
   57.96   69.56 0.50861D-09  1  0  0.01802  266.71  265.33 0.12248D+15  2.223    7.767    7.201    7.503   33.082   12.34   14.29   57.48
   58.28   69.95 0.50590D-09  1  0  0.01808  266.67  265.30 0.12237D+15  2.223    7.724    7.158    7.466   33.045   12.35   14.29   57.81
   58.60   70.34 0.50323D-09  1  0  0.01815  266.63  265.27 0.12226D+15  2.224    7.681    7.115    7.430   33.008   12.36   14.30   58.13
   58.93   70.73 0.50058D-09  1  0  0.01821  266.58  265.25 0.12215D+15  2.224    7.638    7.073    7.393   32.972   12.36   14.31   58.46
