R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
   47.01   56.40 0.70045D-09  1  0  0.00000  268.50  267.35 0.11229D+15  2.208    9.608    9.038    7.095   36.066   11.52   13.56   46.59
   47.33   56.79 0.69583D-09  1  0  0.00000  268.47  267.33 0.11210D+15  2.208    9.543    8.973    7.059   36.029   11.53   13.56   46.92
   47.66   57.19 0.69127D-09  1  0  0.00000  268.43  267.32 0.11190D+15  2.208    9.479    8.909    7.022   35.992   11.54   13.57   47.24
   47.98   57.58 0.68677D-09  1  0  0.00000  268.40  267.30 0.11171D+15  2.209    9.415    8.845    6.987   35.956   11.55   13.57   47.57
   48.30   57.97 0.68234D-09  1  0  0.00000  268.37  267.28 0.11152D+15  2.209    9.353    8.783    6.951   35.919   11.55   13.57   47.89
   48.62   58.36 0.67796D-09  1  0  0.00000  268.33  267.26 0.11133D+15  2.209    9.291    8.721    6.916   35.883   11.56   13.58   48.22
   48.94   58.75 0.67364D-09  1  0  0.00000  268.30  267.25 0.11114D+15  2.210    9.230    8.660    6.880   35.848   11.57   13.58   48.55
   49.27   59.14 0.66938D-09  1  0  0.00000  268.26  267.23 0.11095D+15  2.210    9.169    8.600    6.845   35.812   11.57   13.58   48.87
   49.59   59.53 0.66517D-09  1  0  0.00000  268.23  267.21 0.11076D+15  2.210    9.110    8.540    6.811   35.777   11.58   13.59   49.20
   49.91   59.92 0.66101D-09  1  0  0.00000  268.19  267.20 0.11058D+15  2.210    9.051    8.482    6.776   35.742   11.59   13.59   49.53
   50.23   60.31 0.65691D-09  1  0  0.00000  268.16  267.18 0.11039D+15  2.211    8.993    8.424    6.742   35.707   11.59   13.59   49.85
   50.55   60.70 0.65287D-09  1  0  0.00000  268.13  267.16 0.11021D+15  2.211    8.936    8.367    6.708   35.672   11.60   13.60   50.18
   50.88   61.09 0.64887D-09  1  0  0.00000  268.09  267.14 0.11002D+15  2.211    8.880    8.310    6.674   35.637   11.61   13.60   50.51
   51.20   61.48 0.64492D-09  1  0  0.00000  268.06  267.12 0.10984D+15  2.212    8.824    8.255    6.640   35.603   11.61   13.60   50.83
