R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.13138D-08 0.18000D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  285.00  -21.665   38.490   11.56
 0.13230D-08 0.18125D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  285.18  -21.873   38.704   11.50
 0.13321D-08 0.18250D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  285.36  -22.080   38.918   11.44
 0.13412D-08 0.18375D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  285.54  -22.287   39.133   11.37
 0.13503D-08 0.18500D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  285.71  -22.494   39.347   11.31
 0.13594D-08 0.18625D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  285.89  -22.700   39.562   11.25
 0.13686D-08 0.18750D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  286.06  -22.906   39.777   11.19
 0.13777D-08 0.18875D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  286.24  -23.112   39.993   11.13
 0.13868D-08 0.19000D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  286.41  -23.317   40.208   11.07
 0.14047D-08 0.19125D+13 0.10000D+16   0.0000  1   49.910  0.00000  268.19  286.54  -23.549   40.391   11.02
 0.14138D-08 0.19250D+13 0.10000D+16   0.0000  1   49.910  0.00000  268.19  286.71  -23.754   40.606   10.97
 0.14230D-08 0.19375D+13 0.10000D+16   0.0000  1   49.910  0.00000  268.19  286.89  -23.959   40.822   10.91
 0.14322D-08 0.19500D+13 0.10000D+16   0.0000  1   49.910  0.00000  268.19  287.06  -24.164   41.039   10.85
 0.14414D-08 0.19625D+13 0.10000D+16   0.0000  1   49.910  0.00000  268.19  287.23  -24.369   41.255   10.79
 0.14506D-08 0.19750D+13 0.10000D+16   0.0000  1   49.910  0.00000  268.19  287.40  -24.573   41.472   10.74
 0.14597D-08 0.19875D+13 0.10000D+16   0.0000  1   49.910  0.00000  268.19  287.57  -24.777   41.689   10.68
 0.14689D-08 0.20000D+13 0.10000D+16   0.0000  1   49.910  0.00000  268.19  287.74  -24.981   41.906   10.63
 0.14781D-08 0.20125D+13 0.10000D+16   0.0000  1   49.910  0.00000  268.19  287.91  -25.185   42.123   10.57
 0.14873D-08 0.20250D+13 0.10000D+16   0.0000  1   49.910  0.00000  268.19  288.08  -25.388   42.341   10.52
 0.14965D-08 0.20375D+13 0.10000D+16   0.0000  1   49.910  0.00000  268.19  288.25  -25.591   42.559   10.46
 0.15151D-08 0.20500D+13 0.10000D+16   0.0000  1   49.588  0.00000  268.23  288.37  -25.824   42.738   10.42
 0.15243D-08 0.20625D+13 0.10000D+16   0.0000  1   49.588  0.00000  268.23  288.53  -26.027   42.956   10.37
 0.15336D-08 0.20750D+13 0.10000D+16   0.0000  1   49.588  0.00000  268.23  288.70  -26.230   43.174   10.32
 0.15428D-08 0.20875D+13 0.10000D+16   0.0000  1   49.588  0.00000  268.23  288.86  -26.433   43.393   10.27
 0.15521D-08 0.21000D+13 0.10000D+16   0.0000  1   49.588  0.00000  268.23  289.03  -26.635   43.611   10.21
