R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA   dlid_avg dlid_min dlid_max
 0.45000D+11 0.39811D+14   0.0150   38.007   36.308   39.777
 0.45000D+11 0.44668D+14   0.0150   38.207   36.505   39.981
 0.45000D+11 0.50119D+14   0.0150   38.409   36.703   40.187
 0.45000D+11 0.56234D+14   0.0150   38.613   36.904   40.395
 0.45000D+11 0.63096D+14   0.0150   38.818   37.107   40.603
 0.45000D+11 0.70795D+14   0.0150   39.025   37.312   40.813
 0.45000D+11 0.79433D+14   0.0150   39.233   37.519   41.025
 0.45000D+11 0.89125D+14   0.0150   39.444   37.729   41.237
 0.45000D+11 0.10000D+15   0.0150   39.656   37.942   41.451
 0.45000D+11 0.11220D+15   0.0150   39.871   38.158   41.666
 0.45000D+11 0.12589D+15   0.0150   40.088   38.377   41.883
 0.45000D+11 0.14125D+15   0.0150   40.307   38.598   42.101
 0.45000D+11 0.15849D+15   0.0150   40.529   38.824   42.320
 0.45000D+11 0.17783D+15   0.0150   40.753   39.052   42.541
 0.45000D+11 0.19953D+15   0.0150   40.979   39.285   42.763
 0.45000D+11 0.22387D+15   0.0150   41.209   39.521   42.987
 0.45000D+11 0.25119D+15   0.0150   41.441   39.761   43.213
 0.45000D+11 0.28184D+15   0.0150   41.677   40.005   43.441
 0.45000D+11 0.31623D+15   0.0150   41.916   40.254   43.671
 0.45000D+11 0.35481D+15   0.0150   42.159   40.508   43.903
 0.45000D+11 0.39811D+15   0.0150   42.405   40.766   44.138
 0.45000D+11 0.44668D+15   0.0150   42.657   41.029   44.376
 0.45000D+11 0.50119D+15   0.0150   42.913   41.297   44.618
 0.45000D+11 0.56234D+15   0.0150   43.174   41.571   44.865
 0.45000D+11 0.63096D+15   0.0150   43.441   41.850   45.117
 0.45000D+11 0.70795D+15   0.0150   43.714   42.136   45.375
 0.45000D+11 0.79433D+15   0.0150   43.994   42.429   45.639
 0.45000D+11 0.89125D+15   0.0150   44.283   42.729   45.912
 0.45000D+11 0.10000D+16   0.0150   44.580   43.037   46.194
 0.60000D+11 0.10000D+14   0.0150   33.868   32.115   35.703
 0.60000D+11 0.11220D+14   0.0150   34.043   32.283   35.885
 0.60000D+11 0.12589D+14   0.0150   34.218   32.452   36.067
 0.60000D+11 0.14125D+14   0.0150   34.395   32.623   36.250
 0.60000D+11 0.15849D+14   0.0150   34.573   32.795   36.435
 0.60000D+11 0.17783D+14   0.0150   34.753   32.969   36.620
 0.60000D+11 0.19953D+14   0.0150   34.933   33.144   36.807
 0.60000D+11 0.22387D+14   0.0150   35.115   33.321   36.994
 0.60000D+11 0.25119D+14   0.0150   35.298   33.499   37.183
 0.60000D+11 0.28184D+14   0.0150   35.482   33.679   37.373
 0.60000D+11 0.31623D+14   0.0150   35.668   33.860   37.564
 0.60000D+11 0.35481D+14   0.0150   35.855   34.043   37.756
 0.60000D+11 0.39811D+14   0.0150   36.044   34.229   37.949
 0.60000D+11 0.44668D+14   0.0150   36.234   34.416   38.143
 0.60000D+11 0.50119D+14   0.0150   36.426   34.605   38.338
 0.60000D+11 0.56234D+14   0.0150   36.619   34.797   38.534
 0.60000D+11 0.63096D+14   0.0150   36.815   34.991   38.731
 0.60000D+11 0.70795D+14   0.0150   37.011   35.187   38.930
 0.60000D+11 0.79433D+14   0.0150   37.210   35.386   39.130
 0.60000D+11 0.89125D+14   0.0150   37.411   35.587   39.331
 0.60000D+11 0.10000D+15   0.0150   37.613   35.792   39.534
 0.60000D+11 0.11220D+15   0.0150   37.818   35.999   39.737
 0.60000D+11 0.12589D+15   0.0150   38.024   36.210   39.942
 0.60000D+11 0.14125D+15   0.0150   38.234   36.424   40.148
 0.60000D+11 0.15849D+15   0.0150   38.445   36.642   40.355
 0.60000D+11 0.17783D+15   0.0150   38.659   36.864   40.563
 0.60000D+11 0.19953D+15   0.0150   38.876   37.089   40.772
 0.60000D+11 0.22387D+15   0.0150   39.095   37.319   40.983
 0.60000D+11 0.25119D+15   0.0150   39.318   37.553   41.195
 0.60000D+11 0.28184D+15   0.0150   39.544   37.792   41.409
 0.60000D+11 0.31623D+15   0.0150   39.774   38.035   41.625
 0.60000D+11 0.35481D+15   0.0150   40.008   38.283   41.844
 0.60000D+11 0.39811D+15   0.0150   40.246   38.536   42.066
 0.60000D+11 0.44668D+15   0.0150   40.488   38.795   42.291
 0.60000D+11 0.50119D+15   0.0150   40.736   39.058   42.520
 0.60000D+11 0.56234D+15   0.0150   40.990   39.328   42.754
 0.60000D+11 0.63096D+15   0.0150   41.249   39.603   42.995
 0.60000D+11 0.70795D+15   0.0150   41.516   39.885   43.242
 0.60000D+11 0.79433D+15   0.0150   41.791   40.174   43.497
 0.60000D+11 0.89125D+15   0.0150   42.075   40.471   43.762
 0.60000D+11 0.10000D+16   0.0150   42.368   40.778   44.038
 0.75000D+11 0.10000D+14   0.0150   32.218   30.380   34.153
 0.75000D+11 0.11220D+14   0.0150   32.384   30.539   34.326
 0.75000D+11 0.12589D+14   0.0150   32.551   30.700   34.500
 0.75000D+11 0.14125D+14   0.0150   32.720   30.862   34.675
 0.75000D+11 0.15849D+14   0.0150   32.889   31.026   34.851
 0.75000D+11 0.17783D+14   0.0150   33.060   31.191   35.028
 0.75000D+11 0.19953D+14   0.0150   33.232   31.358   35.206
 0.75000D+11 0.22387D+14   0.0150   33.405   31.526   35.385
 0.75000D+11 0.25119D+14   0.0150   33.579   31.696   35.565
 0.75000D+11 0.28184D+14   0.0150   33.755   31.867   35.745
 0.75000D+11 0.31623D+14   0.0150   33.932   32.040   35.927
 0.75000D+11 0.35481D+14   0.0150   34.110   32.215   36.110
 0.75000D+11 0.39811D+14   0.0150   34.290   32.392   36.294
 0.75000D+11 0.44668D+14   0.0150   34.472   32.571   36.479
 0.75000D+11 0.50119D+14   0.0150   34.655   32.753   36.664
 0.75000D+11 0.56234D+14   0.0150   34.839   32.936   36.851
 0.75000D+11 0.63096D+14   0.0150   35.025   33.122   37.038
 0.75000D+11 0.70795D+14   0.0150   35.213   33.311   37.227
 0.75000D+11 0.79433D+14   0.0150   35.403   33.502   37.416
 0.75000D+11 0.89125D+14   0.0150   35.595   33.697   37.607
 0.75000D+11 0.10000D+15   0.0150   35.788   33.894   37.799
 0.75000D+11 0.11220D+15   0.0150   35.984   34.095   37.992
 0.75000D+11 0.12589D+15   0.0150   36.182   34.299   38.185
 0.75000D+11 0.14125D+15   0.0150   36.382   34.507   38.380
 0.75000D+11 0.15849D+15   0.0150   36.585   34.718   38.575
 0.75000D+11 0.17783D+15   0.0150   36.790   34.934   38.772
 0.75000D+11 0.19953D+15   0.0150   36.998   35.153   38.969
 0.75000D+11 0.22387D+15   0.0150   37.209   35.377   39.168
 0.75000D+11 0.25119D+15   0.0150   37.424   35.606   39.368
 0.75000D+11 0.28184D+15   0.0150   37.642   35.840   39.570
 0.75000D+11 0.31623D+15   0.0150   37.863   36.079   39.774
 0.75000D+11 0.35481D+15   0.0150   38.089   36.323   39.981
 0.75000D+11 0.39811D+15   0.0150   38.320   36.572   40.191
 0.75000D+11 0.44668D+15   0.0150   38.555   36.826   40.404
 0.75000D+11 0.50119D+15   0.0150   38.796   37.086   40.623
 0.75000D+11 0.56234D+15   0.0150   39.044   37.352   40.848
 0.75000D+11 0.63096D+15   0.0150   39.298   37.624   41.079
 0.75000D+11 0.70795D+15   0.0150   39.560   37.902   41.319
 0.75000D+11 0.79433D+15   0.0150   39.831   38.189   41.568
 0.75000D+11 0.89125D+15   0.0150   40.111   38.484   41.828
 0.75000D+11 0.10000D+16   0.0150   40.403   38.789   42.100
 0.90000D+11 0.10000D+14   0.0150   30.734   28.835   32.742
 0.90000D+11 0.11220D+14   0.0150   30.893   28.987   32.908
 0.90000D+11 0.12589D+14   0.0150   31.052   29.140   33.074
 0.90000D+11 0.14125D+14   0.0150   31.213   29.295   33.242
 0.90000D+11 0.15849D+14   0.0150   31.375   29.451   33.410
 0.90000D+11 0.17783D+14   0.0150   31.538   29.609   33.579
 0.90000D+11 0.19953D+14   0.0150   31.702   29.768   33.749
 0.90000D+11 0.22387D+14   0.0150   31.867   29.928   33.920
 0.90000D+11 0.25119D+14   0.0150   32.034   30.091   34.092
 0.90000D+11 0.28184D+14   0.0150   32.202   30.255   34.265
 0.90000D+11 0.31623D+14   0.0150   32.371   30.420   34.439
 0.90000D+11 0.35481D+14   0.0150   32.542   30.588   34.613
 0.90000D+11 0.39811D+14   0.0150   32.714   30.758   34.789
 0.90000D+11 0.44668D+14   0.0150   32.887   30.930   34.965
 0.90000D+11 0.50119D+14   0.0150   33.062   31.104   35.142
 0.90000D+11 0.56234D+14   0.0150   33.239   31.281   35.320
 0.90000D+11 0.63096D+14   0.0150   33.417   31.460   35.498
 0.90000D+11 0.70795D+14   0.0150   33.597   31.642   35.677
 0.90000D+11 0.79433D+14   0.0150   33.779   31.827   35.858
 0.90000D+11 0.89125D+14   0.0150   33.963   32.015   36.038
 0.90000D+11 0.10000D+15   0.0150   34.148   32.206   36.221
 0.90000D+11 0.11220D+15   0.0150   34.336   32.401   36.404
 0.90000D+11 0.12589D+15   0.0150   34.526   32.599   36.587
 0.90000D+11 0.14125D+15   0.0150   34.718   32.801   36.772
 0.90000D+11 0.15849D+15   0.0150   34.913   33.007   36.957
 0.90000D+11 0.17783D+15   0.0150   35.111   33.217   37.143
 0.90000D+11 0.19953D+15   0.0150   35.311   33.432   37.329
 0.90000D+11 0.22387D+15   0.0150   35.515   33.652   37.517
 0.90000D+11 0.25119D+15   0.0150   35.722   33.876   37.706
 0.90000D+11 0.28184D+15   0.0150   35.933   34.106   37.897
 0.90000D+11 0.31623D+15   0.0150   36.148   34.341   38.091
 0.90000D+11 0.35481D+15   0.0150   36.367   34.582   38.287
 0.90000D+11 0.39811D+15   0.0150   36.591   34.827   38.486
 0.90000D+11 0.44668D+15   0.0150   36.821   35.079   38.691
 0.90000D+11 0.50119D+15   0.0150   37.057   35.335   38.901
 0.90000D+11 0.56234D+15   0.0150   37.300   35.598   39.118
 0.90000D+11 0.63096D+15   0.0150   37.550   35.867   39.343
 0.90000D+11 0.70795D+15   0.0150   37.809   36.143   39.578
 0.90000D+11 0.79433D+15   0.0150   38.077   36.428   39.823
 0.90000D+11 0.89125D+15   0.0150   38.356   36.722   40.080
 0.90000D+11 0.10000D+16   0.0150   38.646   37.025   40.352
 0.10500D+12 0.10000D+14   0.0150   29.392   27.450   31.453
 0.10500D+12 0.11220D+14   0.0150   29.544   27.595   31.612
 0.10500D+12 0.12589D+14   0.0150   29.696   27.742   31.771
 0.10500D+12 0.14125D+14   0.0150   29.850   27.890   31.932
 0.10500D+12 0.15849D+14   0.0150   30.005   28.039   32.093
