R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.15375D+13 0.50242D-09 0.32000D+13   0.0300  1  117.208  0.09073  248.16  254.15   -0.000   50.211    6.13
 0.15500D+13 0.50780D-09 0.32000D+13   0.0300  1  116.886  0.09003  248.35  254.37    0.000   50.619    6.09
 0.15625D+13 0.51320D-09 0.32000D+13   0.0300  1  116.564  0.08934  248.55  254.60   -0.000   51.028    6.04
 0.15750D+13 0.51863D-09 0.32000D+13   0.0300  1  116.242  0.08865  248.73  254.82   -0.000   51.436    6.00
 0.15875D+13 0.52408D-09 0.32000D+13   0.0300  1  115.920  0.08798  248.92  255.04    0.000   51.844    5.96
 0.16000D+13 0.52957D-09 0.32000D+13   0.0300  1  115.598  0.08731  249.10  255.26   -0.000   52.252    5.92
 0.16125D+13 0.53509D-09 0.32000D+13   0.0300  1  115.276  0.08666  249.28  255.47   -0.000   52.660    5.88
 0.16250D+13 0.54203D-09 0.32000D+13   0.0300  1  114.632  0.08538  249.64  255.76   -0.000   53.069    5.83
 0.16375D+13 0.54763D-09 0.32000D+13   0.0300  1  114.310  0.08475  249.81  255.97    0.000   53.477    5.79
 0.16500D+13 0.55325D-09 0.32000D+13   0.0300  1  113.988  0.08413  249.98  256.18    0.000   53.885    5.75
 0.16625D+13 0.55890D-09 0.32000D+13   0.0300  1  113.666  0.08352  250.15  256.39   -0.000   54.293    5.72
 0.16750D+13 0.56458D-09 0.32000D+13   0.0300  1  113.344  0.08292  250.32  256.59   -0.000   54.701    5.68
 0.16875D+13 0.57030D-09 0.32000D+13   0.0300  1  113.022  0.08233  250.48  256.80   -0.000   55.110    5.64
 0.17000D+13 0.57604D-09 0.32000D+13   0.0300  1  112.700  0.08175  250.65  257.00    0.000   55.518    5.61
 0.17125D+13 0.58182D-09 0.32000D+13   0.0300  1  112.378  0.08117  250.81  257.20   -0.000   55.926    5.57
 0.17250D+13 0.58919D-09 0.32000D+13   0.0300  1  111.734  0.08004  251.13  257.46   -0.000   56.334    5.53
 0.17375D+13 0.59505D-09 0.32000D+13   0.0300  1  111.412  0.07949  251.28  257.65    0.000   56.743    5.50
 0.17500D+13 0.60094D-09 0.32000D+13   0.0300  1  111.090  0.07894  251.44  257.85    0.000   57.151    5.47
 0.17625D+13 0.60687D-09 0.32000D+13   0.0300  1  110.768  0.07840  251.59  258.04    0.000   57.559    5.43
 0.17750D+13 0.61282D-09 0.32000D+13   0.0300  1  110.446  0.07787  251.74  258.23    0.000   57.967    5.40
 0.17875D+13 0.62050D-09 0.32000D+13   0.0300  1  109.802  0.07683  252.03  258.48   -0.000   58.375    5.37
 0.18000D+13 0.62654D-09 0.32000D+13   0.0300  1  109.480  0.07632  252.18  258.66   -0.000   58.784    5.34
 0.18125D+13 0.63262D-09 0.32000D+13   0.0300  1  109.158  0.07581  252.32  258.85    0.000   59.192    5.31
 0.18250D+13 0.63873D-09 0.32000D+13   0.0300  1  108.836  0.07531  252.46  259.03   -0.000   59.600    5.28
 0.18375D+13 0.64666D-09 0.32000D+13   0.0300  1  108.192  0.07434  252.74  259.27    0.000   60.008    5.24
 0.18500D+13 0.65287D-09 0.32000D+13   0.0300  1  107.870  0.07386  252.88  259.45   -0.000   60.417    5.22
 0.18625D+13 0.65911D-09 0.32000D+13   0.0300  1  107.548  0.07338  253.02  259.63    0.000   60.825    5.19
 0.18750D+13 0.66725D-09 0.32000D+13   0.0300  1  106.904  0.07245  253.29  259.86    0.000   61.233    5.16
 0.18875D+13 0.67358D-09 0.32000D+13   0.0300  1  106.582  0.07200  253.42  260.03   -0.000   61.641    5.13
 0.19000D+13 0.67995D-09 0.32000D+13   0.0300  1  106.260  0.07154  253.55  260.20   -0.000   62.049    5.10
 0.19125D+13 0.68831D-09 0.32000D+13   0.0300  1  105.616  0.07066  253.81  260.42   -0.000   62.458    5.07
 0.19250D+13 0.69478D-09 0.32000D+13   0.0300  1  105.294  0.07022  253.93  260.59   -0.000   62.866    5.05
 0.19375D+13 0.70129D-09 0.32000D+13   0.0300  1  104.972  0.06979  254.06  260.76    0.000   63.274    5.02
 0.19500D+13 0.70987D-09 0.32000D+13   0.0300  1  104.328  0.06895  254.31  260.98   -0.000   63.682    4.99
 0.19625D+13 0.71648D-09 0.32000D+13   0.0300  1  104.006  0.06853  254.43  261.14   -0.000   64.091    4.97
 0.19750D+13 0.72523D-09 0.32000D+13   0.0300  1  103.362  0.06772  254.67  261.35   -0.000   64.499    4.94
 0.19875D+13 0.73195D-09 0.32000D+13   0.0300  1  103.040  0.06732  254.79  261.51    0.000   64.907    4.92
 0.20000D+13 0.74087D-09 0.32000D+13   0.0300  1  102.396  0.06653  255.03  261.72   -0.000   65.315    4.89
 0.20125D+13 0.74770D-09 0.32000D+13   0.0300  1  102.074  0.06614  255.14  261.88    0.000   65.723    4.87
 0.20250D+13 0.75456D-09 0.32000D+13   0.0300  1  101.752  0.06576  255.26  262.03   -0.000   66.132    4.85
