R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
   27.37   32.68 0.13200D-08  1  0  0.02730  269.94  268.51 0.12215D+15  2.195   16.431   15.860    7.190   39.598   10.72   13.70   26.86
   27.69   33.07 0.13049D-08  1  0  0.02738  269.89  268.50 0.12190D+15  2.195   16.240   15.668    7.119   39.526   10.74   13.69   27.18
   28.01   33.46 0.12901D-08  1  0  0.02745  269.85  268.49 0.12165D+15  2.195   16.052   15.481    7.048   39.455   10.75   13.69   27.51
   28.34   33.85 0.12757D-08  1  0  0.02752  269.81  268.48 0.12141D+15  2.196   15.869   15.299    6.978   39.385   10.77   13.68   27.84
   28.66   34.24 0.12617D-08  1  0  0.02760  269.77  268.47 0.12117D+15  2.196   15.691   15.120    6.909   39.316   10.78   13.67   28.17
   28.98   34.63 0.12479D-08  1  0  0.02767  269.73  268.45 0.12094D+15  2.196   15.516   14.945    6.841   39.247   10.79   13.67   28.49
   29.30   35.03 0.12345D-08  1  0  0.02774  269.69  268.44 0.12070D+15  2.197   15.345   14.774    6.773   39.179   10.81   13.66   28.82
   29.62   35.42 0.12213D-08  1  0  0.02782  269.65  268.43 0.12047D+15  2.197   15.178   14.607    6.706   39.112   10.82   13.65   29.15
   29.95   35.81 0.12084D-08  1  0  0.02790  269.61  268.41 0.12025D+15  2.198   15.014   14.443    6.639   39.045   10.84   13.65   29.48
   30.27   36.20 0.11958D-08  1  0  0.02797  269.57  268.40 0.12003D+15  2.198   14.854   14.283    6.574   38.979   10.85   13.65   29.81
   30.59   36.59 0.11835D-08  1  0  0.02805  269.53  268.39 0.11981D+15  2.198   14.697   14.126    6.508   38.913   10.86   13.64   30.13
   30.91   36.98 0.11714D-08  1  0  0.02812  269.48  268.37 0.11959D+15  2.199   14.543   13.973    6.443   38.848   10.88   13.64   30.46
   31.23   37.38 0.11595D-08  1  0  0.02820  269.44  268.36 0.11937D+15  2.199   14.393   13.823    6.379   38.784   10.89   13.63   30.79
